Job Title,Count
Destinationschef,1
Klimaforsker,1
"Driftstekniker, film-, TV- og teater",1
Forsorgsmedarbejder,1
Regionsdirektør,1
Varme- og ventilationstekniker,1
Skibsmægler,1
Værktøjsmagerlærling,1
Paramediciner,1
Sadelmager,1
Vagtcentralleder,1
Skibsmekaniker,1
designingeniør,1
Beslagsmed,1
Ortopædist,1
Kontraktchef,1
"Forskningsassistent, naturvidenskab og teknik",1
Biomediciner,1
Eventtekniker,1
Lægemiddelkonsulent,1
"Ph.d., humaniora",1
Diamantskærer,1
Flyteknikner,1
Flyinstruktør,1
Maskinassistent,1
Dramaturg,1
Taksator,1
Produktspecialist,1
Model,1
Fysiker,1
Lærer på skuespillerskole,1
ledningsmontør,1
Kunstlærer,1
Artdirector,1
Filmklipper,1
Mejeriarbejder,1
"Undervisningsassistent, professionshøjskole",1
"Operatør, drikkevarer",1
Indkøbsassistent,1
Ressourceleder,1
"Forskningsassistent, samfundsvidenskab",1
Demonstratør,1
"Forsker, humaniora",1
Bryggeriarbejder,1
Tekstildesigner,1
CSR-ansvarlig,1
Togfører,1
Erhvervsanalytiker,1
Bankdirektør,1
Investeringsrådgiver,1
Social vicevært,1
"Relationship manager, finans",1
Trafikassistent,1
Skuespiller,1
"Ph.d., professionshøjskole og erhvervsakademi",1
Revisorelev,1
Lastvognsmekanikerlærling,1
Miljøanalytiker,1
Politibetjent / -assistent,1
Miljøkoordinator,1
Levnedsmiddelingeniør,1
Industrioperatørelev,1
VUC-lærer,1
Vejrvært,1
Korsanger,1
GIS-medarbejder,1
Musikpædagog,1
Skibsmontørlærling,1
Reklamekonsulent,1
Croupier,1
Automatikteknikerelev,1
Bygningsstruktørlærling,1
Instruktørassistent,1
Distributionschef,1
Arkæolog,1
Farvehandler,1
friluftsvejleder,1
Maskinmesteraspirant,1
Staldmester,1
Teatertekniker,1
Sommelier,1
